id,email,password,firstname,lastname,company_id,status,is_active,last_login,created_at,updated_at
10b98161-28aa-47dd-8ff1-ccf9d7b1f06f,aziz.azizov1@tashkenttextilegroup.uz,$2b$10$OLE6n8/2YXMBHQ3hkO6IOuiAtuhrAWpdnvDbBv09UtPoKMslSzX5a,Aziz,Azizov,d1d84569-b40d-40a3-a710-27114c7a9aaf,active,t,,2025-08-07 15:43:37.481+05,2025-08-07 15:43:37.481+05
0aa2ebf6-d6c7-4b56-8e76-bc4a24141f20,karim.karimov2@tashkenttextilegroup.uz,$2b$10$7BK0hDbv2hK86noocHA9v.FfJBGjGCxc59Nm7f9EhJT6QMFd7wNtS,Karim,Karimov,d1d84569-b40d-40a3-a710-27114c7a9aaf,active,t,,2025-08-07 15:43:37.481+05,2025-08-07 15:43:37.481+05
df2bbfc6-8f28-4959-9934-15b45efbea92,nurmat.nurmatov3@tashkenttextilegroup.uz,$2b$10$T3AZR6YtYwrZesmAStGDQutkfwAwCUJQJWQq2OBTB.gXTsRDuk3.6,Nurmat,Nurmatov,d1d84569-b40d-40a3-a710-27114c7a9aaf,active,t,,2025-08-07 15:43:37.481+05,2025-08-07 15:43:37.481+05
d24fee8b-769e-4147-8cf5-a1747d9bf763,rahim.rahimov4@tashkenttextilegroup.uz,$2b$10$CgZ5XZvri9rpR477mahW9eNHOdcOf2/pIgPUEdzSE2TpfT.Cr4Xze,Rahim,Rahimov,d1d84569-b40d-40a3-a710-27114c7a9aaf,active,t,,2025-08-07 15:43:37.481+05,2025-08-07 15:43:37.481+05
3b30d37d-87c8-481d-8323-2b8a01915ad1,bekzod.bekzodov1@samarkandtradingcompany.uz,$2b$10$DO1AHcSSW9v0HYfSbdXQy.15WQuO7Dms8hQ7sFHgMrRwh2QxJRYSO,Bekzod,Bekzodov,18ec45e1-4be0-4536-a9de-22bf9d4d4ca0,active,t,,2025-08-07 15:43:37.481+05,2025-08-07 15:43:37.481+05
e78d3483-ecc5-4139-b42e-9446dde13b0b,jahongir.jahongirov2@samarkandtradingcompany.uz,$2b$10$mPnT1tmlsZ4VpaDisAcUC.sPItohHHWs0yWGLWVlKy21ij93EPmRK,Jahongir,Jahongirov,18ec45e1-4be0-4536-a9de-22bf9d4d4ca0,active,t,,2025-08-07 15:43:37.481+05,2025-08-07 15:43:37.481+05
4e0c93a0-b7ad-414b-b136-94625e73ea72,alisher.alisherov3@samarkandtradingcompany.uz,$2b$10$AdawPy72Cq3XtYE.GQqd6.LWhjeWZmtZjj28tXDzjcfB1oXitcDTu,Alisher,Alisherov,18ec45e1-4be0-4536-a9de-22bf9d4d4ca0,active,t,,2025-08-07 15:43:37.481+05,2025-08-07 15:43:37.481+05
513bba3a-2f06-40a4-af9e-3ff90dc6ffe9,sherzod.sherzodov4@samarkandtradingcompany.uz,$2b$10$0UEqTn3E5dENFv9h8FyVAO0VxVsmhZiSpatiMI7rpuMrVesE7GQBe,Sherzod,Sherzodov,18ec45e1-4be0-4536-a9de-22bf9d4d4ca0,active,t,,2025-08-07 15:43:37.481+05,2025-08-07 15:43:37.481+05
934c6835-adbb-450a-b1fe-7cdacc8286d3,murod.murodov5@samarkandtradingcompany.uz,$2b$10$TQZoLg.GqBY4NKgp5IjnQ.nJMfFxCZVMNbYcio6iKI5JOBxV/QT8m,Murod,Murodov,18ec45e1-4be0-4536-a9de-22bf9d4d4ca0,active,t,,2025-08-07 15:43:37.481+05,2025-08-07 15:43:37.481+05
432dcee0-51c4-4192-8604-52b4f5480799,shahnoza.jamshidova1@bukharaagriculturalenterprise.uz,$2b$10$Y5ERxXdkAb9wL0IvSlpiqepeoeYpB18GZxtjNAVhAHzPlv7cb03jq,Shahnoza,Jamshidova,c57d86dc-fbba-4875-9bfd-85d3426bbac5,active,t,,2025-08-07 15:43:37.481+05,2025-08-07 15:43:37.481+05
